dept_name,wk_date,sales,ctype
Cereal,2011-12-16,2967649.5699999975,actuals
Accessories,2011-12-23,2846582.6299999985,actuals
Dinner Foods,2011-12-23,1556471.5399999996,actuals
Bedding,2011-12-23,2747982.750000001,actuals
Appliances,2011-12-23,2698126.2000000007,actuals
Canned Foods,2011-12-23,3322448.679999999,actuals
Dairy,2011-12-23,2204243.1000000015,actuals
Beverages,2011-12-23,4647997.519999997,actuals
Cereal,2011-12-23,5028104.79,actuals
Cleaning Supplies,2011-12-23,1733834.9699999997,actuals
Beauty,2011-12-23,1332252.7699999989,actuals
Dairy,2011-12-30,1881964.7200000007,actuals
Cereal,2011-12-30,2665205.1799999983,actuals
Beverages,2011-12-30,2914599.5499999984,actuals
Accessories,2011-12-30,1797200.910000001,actuals
Dinner Foods,2011-12-30,1161792.29,actuals
Bedding,2011-12-30,1916945.6599999985,actuals
Canned Foods,2011-12-30,2485110.9299999992,actuals
Cleaning Supplies,2011-12-30,1244924.6299999997,actuals
Appliances,2011-12-30,2514156.5000000005,actuals
Beauty,2011-12-30,1178176.33,actuals
Beverages,2012-01-06,3862416.790000003,actuals
Dinner Foods,2012-01-06,1682066.9200000004,actuals
Dairy,2012-01-06,2241109.210000002,actuals
Cleaning Supplies,2012-01-06,1326346.7099999995,actuals
Canned Foods,2012-01-06,3059249.38,actuals
Cereal,2012-01-06,1767184.0800000012,actuals
Appliances,2012-01-06,3110692.2099999986,actuals
Accessories,2012-01-06,1936413.7100000004,actuals
Bedding,2012-01-06,2274279.8600000003,actuals
Beauty,2012-01-06,1437179.0400000007,actuals
Beverages,2012-01-13,3746489.0700000003,actuals
Canned Foods,2012-01-13,2926984.6599999997,actuals
Accessories,2012-01-13,1852848.9199999985,actuals
Bedding,2012-01-13,2191304.4899999993,actuals
Dinner Foods,2012-01-13,1642329.0099999993,actuals
Dairy,2012-01-13,2124902.5700000017,actuals
Cleaning Supplies,2012-01-13,1289438.38,actuals
Cereal,2012-01-13,1672350.899999999,actuals
Appliances,2012-01-13,3048915.219999999,actuals
Beauty,2012-01-13,1317409.4299999995,actuals
Dairy,2012-01-20,2116767.619999999,actuals
Dinner Foods,2012-01-20,1590982.85,actuals
Cereal,2012-01-20,1805209.4500000007,actuals
Beverages,2012-01-20,3613365.95,actuals
Canned Foods,2012-01-20,2958740.8099999987,actuals
Beauty,2012-01-20,1318835.6299999992,actuals
Cleaning Supplies,2012-01-20,1320067.53,actuals
Bedding,2012-01-20,2179965.3499999996,actuals
Appliances,2012-01-20,2835067.850000001,actuals
Accessories,2012-01-20,1867059.8899999987,actuals
Dairy,2012-01-27,2001857.1999999986,actuals
Cleaning Supplies,2012-01-27,1251658.2,actuals
Appliances,2012-01-27,2887702.3299999977,actuals
Accessories,2012-01-27,1730179.8500000008,actuals
Cereal,2012-01-27,1789460.6599999995,actuals
Canned Foods,2012-01-27,2773665.3,actuals
Beauty,2012-01-27,1210821.0299999996,actuals
Dinner Foods,2012-01-27,1446032.930000001,actuals
Beverages,2012-01-27,3313512.399999997,actuals
Bedding,2012-01-27,2037988.1699999988,actuals
Bedding,2012-02-03,2229493.3899999997,actuals
Cereal,2012-02-03,2548988.1199999982,actuals
Dairy,2012-02-03,2192252.309999999,actuals
Cleaning Supplies,2012-02-03,1417157.719999999,actuals
Canned Foods,2012-02-03,3066161.2899999977,actuals
Accessories,2012-02-03,1995274.0499999993,actuals
Appliances,2012-02-03,3121192.9599999995,actuals
Beverages,2012-02-03,3746408.7200000025,actuals
Beauty,2012-02-03,1381251.2900000005,actuals
Dinner Foods,2012-02-03,1660745.6800000009,actuals
Cleaning Supplies,2012-02-10,1403521.2100000002,actuals
Canned Foods,2012-02-10,3161814.7200000016,actuals
Dinner Foods,2012-02-10,1752918.0200000005,actuals
Cereal,2012-02-10,3234457.9000000022,actuals
Accessories,2012-02-10,2037945.8600000013,actuals
Beauty,2012-02-10,1391368.419999999,actuals
Appliances,2012-02-10,2972930.7699999986,actuals
Beverages,2012-02-10,3910737.1799999992,actuals
Bedding,2012-02-10,2261271.4499999997,actuals
Cleaning Supplies,2012-02-17,1364216.22,actuals
Dinner Foods,2012-02-17,1583235.1700000006,actuals
Accessories,2012-02-17,1976676.2199999993,actuals
Cereal,2012-02-17,2748184.1900000004,actuals
Dairy,2012-02-17,2136070.999999998,actuals
Beverages,2012-02-17,3627632.6900000023,actuals
Bedding,2012-02-17,2139259.1699999995,actuals
Canned Foods,2012-02-17,2954428.45,actuals
Beauty,2012-02-17,1323643.8400000005,actuals
Appliances,2012-02-17,2974062.8200000003,actuals
Beverages,2012-02-24,3476677.5200000014,actuals
Cereal,2012-02-24,2430785.41,actuals
Dinner Foods,2012-02-24,1524141.56,actuals
Accessories,2012-02-24,2046897.030000001,actuals
Dairy,2012-02-24,2173879.809999998,actuals
Canned Foods,2012-02-24,2963563.8200000026,actuals
Cleaning Supplies,2012-02-24,1393394.1100000013,actuals
Appliances,2012-02-24,2787724.430000002,actuals
Beauty,2012-02-24,1399372.0000000012,actuals
Bedding,2012-02-24,2104007.959999998,actuals
Beverages,2012-03-02,3603681.2700000005,actuals
Dairy,2012-03-02,2227096.1900000023,actuals
Dinner Foods,2012-03-02,1575192.0300000012,actuals
Cleaning Supplies,2012-03-02,1419253.8599999996,actuals
Accessories,2012-03-02,2057833.0899999999,actuals
Cereal,2012-03-02,2309221.67,actuals
Appliances,2012-03-02,3128520.249999997,actuals
Canned Foods,2012-03-02,3032242.4699999997,actuals
Beauty,2012-03-02,1439392.0000000007,actuals
Bedding,2012-03-02,2139224.4199999985,actuals
Cleaning Supplies,2012-03-09,1405097.529999999,actuals
Beverages,2012-03-09,3841342.249999999,actuals
Canned Foods,2012-03-09,3225771.0600000015,actuals
Accessories,2012-03-09,2040874.9899999986,actuals
Appliances,2012-03-09,2983339.9100000015,actuals
Bedding,2012-03-09,2210386.5200000014,actuals
Dinner Foods,2012-03-09,1702872.4800000002,actuals
Beauty,2012-03-09,1407645.7699999998,actuals
Cereal,2012-03-09,2080139.1700000009,actuals
Beverages,2012-03-16,3562833.729999998,actuals
Cleaning Supplies,2012-03-16,1355110.97,actuals
Accessories,2012-03-16,1974819.0199999986,actuals
Beauty,2012-03-16,1375568.4299999995,actuals
Dairy,2012-03-16,2140228.839999998,actuals
Cereal,2012-03-16,2059628.930000001,actuals
Bedding,2012-03-16,2132665.9599999995,actuals
Dinner Foods,2012-03-16,1582847.83,actuals
Canned Foods,2012-03-16,3168037.2499999995,actuals
Appliances,2012-03-16,2880025.9599999986,actuals
Beverages,2012-03-23,3246339.720000002,actuals
Cleaning Supplies,2012-03-23,1334346.88,actuals
Accessories,2012-03-23,1910885.630000001,actuals
Beauty,2012-03-23,1345261.6799999995,actuals
Bedding,2012-03-23,1984775.4800000014,actuals
Cereal,2012-03-23,1710130.9399999997,actuals
Dinner Foods,2012-03-23,1435878.7899999998,actuals
Appliances,2012-03-23,2900676.860000002,actuals
Canned Foods,2012-03-23,2984946.7599999984,actuals
Dairy,2012-03-23,2075683.8099999982,actuals
Accessories,2012-03-30,1920718.8299999998,actuals
Beauty,2012-03-30,1344799.7100000004,actuals
Beverages,2012-03-30,3198482.2199999983,actuals
Cleaning Supplies,2012-03-30,1353982.58,actuals
Dairy,2012-03-30,2077302.8900000008,actuals
Canned Foods,2012-03-30,3036695.2400000007,actuals
Bedding,2012-03-30,1977207.2699999993,actuals
Appliances,2012-03-30,2944016.0900000012,actuals
Cereal,2012-03-30,1615556.5199999996,actuals
Dinner Foods,2012-03-30,1439058.0999999996,actuals
Beauty,2012-04-06,1445925.4700000011,actuals
Beverages,2012-04-06,3961282.3899999987,actuals
Cleaning Supplies,2012-04-06,1471928.71,actuals
Canned Foods,2012-04-06,3407441.8099999996,actuals
Accessories,2012-04-06,2097789.349999999,actuals
Bedding,2012-04-06,2354364.0700000003,actuals
Appliances,2012-04-06,3081965.270000003,actuals
Cereal,2012-04-06,1815304.8800000008,actuals
