dept,wk_date,total_sales,avg_temp,day_of_week
72.0,2011-12-16,2967649.5699999994,40.141190476190474,Friday
2.0,2011-12-23,2846582.63,39.611777777777775,Friday
91.0,2011-12-23,1556471.5399999998,39.611777777777775,Friday
90.0,2011-12-23,2747982.75,39.611777777777775,Friday
38.0,2011-12-23,2698126.1999999997,39.611777777777775,Friday
95.0,2011-12-23,3322448.6800000006,39.611777777777775,Friday
40.0,2011-12-23,2204243.1,39.611777777777775,Friday
92.0,2011-12-23,4647997.52,39.611777777777775,Friday
72.0,2011-12-23,5028104.79,38.699285714285715,Friday
8.0,2011-12-23,1733834.97,39.611777777777775,Friday
13.0,2011-12-23,1332252.77,39.611777777777775,Friday
40.0,2011-12-30,1881964.7200000002,37.92622222222222,Friday
72.0,2011-12-30,2665205.18,37.36790697674419,Friday
92.0,2011-12-30,2914599.55,37.92622222222222,Friday
2.0,2011-12-30,1797200.9100000001,37.92622222222222,Friday
91.0,2011-12-30,1161792.29,37.92622222222222,Friday
90.0,2011-12-30,1916945.6600000001,37.92622222222222,Friday
95.0,2011-12-30,2485110.93,37.92622222222222,Friday
8.0,2011-12-30,1244924.6300000001,37.92622222222222,Friday
38.0,2011-12-30,2514156.5,37.92622222222222,Friday
13.0,2011-12-30,1178176.3299999998,37.92622222222222,Friday
92.0,2012-01-06,3862416.79,41.13333333333334,Friday
91.0,2012-01-06,1682066.92,41.13333333333334,Friday
40.0,2012-01-06,2241109.21,41.13333333333334,Friday
8.0,2012-01-06,1326346.71,41.13333333333334,Friday
95.0,2012-01-06,3059249.38,41.13333333333334,Friday
72.0,2012-01-06,1767184.08,39.834523809523816,Friday
38.0,2012-01-06,3110692.21,41.13333333333334,Friday
2.0,2012-01-06,1936413.71,41.13333333333334,Friday
90.0,2012-01-06,2274279.8600000003,41.13333333333334,Friday
13.0,2012-01-06,1437179.04,41.13333333333334,Friday
92.0,2012-01-13,3746489.0700000003,39.69022222222222,Friday
95.0,2012-01-13,2926984.66,39.69022222222222,Friday
2.0,2012-01-13,1852848.92,39.69022222222222,Friday
90.0,2012-01-13,2191304.49,39.69022222222222,Friday
91.0,2012-01-13,1642329.01,39.69022222222222,Friday
40.0,2012-01-13,2124902.57,39.69022222222222,Friday
8.0,2012-01-13,1289438.38,39.69022222222222,Friday
72.0,2012-01-13,1672350.9,38.67071428571428,Friday
38.0,2012-01-13,3048915.22,39.69022222222222,Friday
13.0,2012-01-13,1317409.43,39.69022222222222,Friday
40.0,2012-01-20,2116767.62,39.74177777777778,Friday
91.0,2012-01-20,1590982.85,39.74177777777778,Friday
72.0,2012-01-20,1805209.45,38.54714285714286,Friday
92.0,2012-01-20,3613365.95,39.74177777777778,Friday
95.0,2012-01-20,2958740.81,39.74177777777778,Friday
13.0,2012-01-20,1318835.63,39.74177777777778,Friday
8.0,2012-01-20,1320067.53,39.74177777777778,Friday
90.0,2012-01-20,2179965.35,39.74177777777778,Friday
38.0,2012-01-20,2835067.8499999996,39.74177777777778,Friday
2.0,2012-01-20,1867059.8900000001,39.74177777777778,Friday
40.0,2012-01-27,2001857.2,42.726,Friday
8.0,2012-01-27,1251658.2,42.726,Friday
38.0,2012-01-27,2887702.33,42.726,Friday
2.0,2012-01-27,1730179.8499999999,42.726,Friday
72.0,2012-01-27,1789460.6600000001,41.667142857142856,Friday
95.0,2012-01-27,2773665.3,42.726,Friday
13.0,2012-01-27,1210821.03,42.726,Friday
91.0,2012-01-27,1446032.93,42.726,Friday
92.0,2012-01-27,3313512.4,42.726,Friday
90.0,2012-01-27,2037988.17,42.726,Friday
90.0,2012-02-03,2229493.39,44.80444444444444,Friday
72.0,2012-02-03,2548988.12,43.77357142857143,Friday
40.0,2012-02-03,2192252.31,44.80444444444444,Friday
8.0,2012-02-03,1417157.72,44.80444444444444,Friday
95.0,2012-02-03,3066161.29,44.80444444444444,Friday
2.0,2012-02-03,1995274.05,44.80444444444444,Friday
38.0,2012-02-03,3121192.96,44.80444444444444,Friday
92.0,2012-02-03,3746408.7199999997,44.80444444444444,Friday
13.0,2012-02-03,1381251.29,44.80444444444444,Friday
91.0,2012-02-03,1660745.6800000002,44.80444444444444,Friday
8.0,2012-02-10,1403521.21,39.848,Friday
95.0,2012-02-10,3161814.7199999997,39.848,Friday
91.0,2012-02-10,1752918.02,39.848,Friday
72.0,2012-02-10,3234457.9000000004,39.040232558139536,Friday
2.0,2012-02-10,2037945.8599999999,39.848,Friday
13.0,2012-02-10,1391368.42,39.848,Friday
38.0,2012-02-10,2972930.7699999996,39.848,Friday
92.0,2012-02-10,3910737.18,39.848,Friday
90.0,2012-02-10,2261271.45,39.848,Friday
8.0,2012-02-17,1364216.22,40.20333333333333,Friday
91.0,2012-02-17,1583235.17,40.20333333333333,Friday
2.0,2012-02-17,1976676.22,40.20333333333333,Friday
72.0,2012-02-17,2748184.19,39.11547619047619,Friday
40.0,2012-02-17,2136071.0,40.20333333333333,Friday
92.0,2012-02-17,3627632.6900000004,40.20333333333333,Friday
90.0,2012-02-17,2139259.17,40.20333333333333,Friday
95.0,2012-02-17,2954428.4499999997,40.20333333333333,Friday
13.0,2012-02-17,1323643.8399999999,40.20333333333333,Friday
38.0,2012-02-17,2974062.8200000003,40.20333333333333,Friday
92.0,2012-02-24,3476677.52,45.123999999999995,Friday
72.0,2012-02-24,2430785.41,44.394418604651165,Friday
91.0,2012-02-24,1524141.5600000003,45.123999999999995,Friday
2.0,2012-02-24,2046897.0300000003,45.123999999999995,Friday
40.0,2012-02-24,2173879.81,45.123999999999995,Friday
95.0,2012-02-24,2963563.8200000003,45.123999999999995,Friday
8.0,2012-02-24,1393394.11,45.123999999999995,Friday
38.0,2012-02-24,2787724.43,45.123999999999995,Friday
13.0,2012-02-24,1399372.0,45.123999999999995,Friday
90.0,2012-02-24,2104007.96,45.123999999999995,Friday
92.0,2012-03-02,3603681.2699999996,45.486444444444444,Friday
40.0,2012-03-02,2227096.1900000004,45.486444444444444,Friday
91.0,2012-03-02,1575192.03,45.486444444444444,Friday
8.0,2012-03-02,1419253.8599999999,45.486444444444444,Friday
2.0,2012-03-02,2057833.0899999999,45.486444444444444,Friday
72.0,2012-03-02,2309221.67,44.37666666666667,Friday
38.0,2012-03-02,3128520.25,45.486444444444444,Friday
